Term,fdr,es,nes,pval,lead_genes
Heterochromatin Formation (GO:0031507),0.015066977063694996,-0.521286268318453,-1.9931352027017535,0.0,H2AC11;EZH1;POLE3;KMT2D;BAHD1;H2AC12;H2AC7;CBX3;H2AC20;UBR5;H2AC25;H2AC19;LMNB1;H2AC14;RBM15B;SIN3A;EZH2;BAZ2A;RB1;H2AC6;H2AC21;CBX5;EED;RBM15;YTHDC1;MACROH2A1;SPTY2D1
Negative Regulation of Cyclin-Dependent Protein Kinase Activity (GO:1904030),0.015784452161966188,-0.7251417053739196,-1.9831109978440233,0.0,HEXIM2;INCA1;MYOCD;CDKN1B;TFAP4;MEN1;PROC;PTEN;LATS1;HHEX
Protein Localization to Chromosome (GO:0034502),0.015784452161966188,-0.5582193803474955,-1.9700213847326107,0.0,LEF1;BRD3;MCM9;HASPIN;RAD21;CHMP7;POLR1A;BRD2;MCM8;CTCF;CENPA;RB1;MMS22L;ATRX;PLK1;RHNO1;TONSL;TOPBP1;LEMD2;TNKS2;MDC1;ESR1;APLF;TNKS;WAPL;SLF1;H2AX
Cardiac Conduction System Development (GO:0003161),0.014656991293254316,-0.668143228479011,-1.9680768490269185,0.0,MSX2;GJA5;MSX1;HEY2;HEY1;TBX18;HCN4;BMPR1A;SMAD1;NKX2-5;GATA4;SCN5A;TBX5;CACNA1G;GJB6;SMAD5;GJA1
Positive Regulation of mRNA Catabolic Process (GO:0061014),0.03051660751313463,-0.5272923947614355,-1.9097871125407306,0.0,TOB1;TNRC6C;YTHDF3;ZFP36;ZC3H12A;GTPBP1;CNOT8;EIF4ENIF1;TNRC6A;METTL14;TNRC6B;BTG2;CELF1;RBM24;PUM1;ZFP36L2;YTHDF2;CPEB3;ALKBH5;ZFP36L1;QKI;KHSRP;GIGYF2;NANOS1;DHX36;NANOS2;ROCK2
Anterior/Posterior Axis Specification (GO:0009948),0.034528489104301036,-0.6385785243190062,-1.9017041188410924,0.0,RIPPLY2;FZD5;TBXT;CER1;SIX2;HOXD8;CDX2;LEFTY1;TBX3;RIPPLY1;WNT8A;LHX1;SHH
mRNA Destabilization (GO:0061157),0.03435439588192641,-0.4958906798452612,-1.8909785798281995,0.0,TRIM71;YTHDF3;PABPN1L;DCP2;AGO4;ZFP36;ZC3H12A;CNOT8;RC3H1;METTL14;RC3H2;CELF1;RBM24;ZC3H12D;PUM1;ZFP36L2;YTHDF2;CPEB3;ALKBH5;TUT4;ZFP36L1;KHSRP;GIGYF2;AGO2;NANOS1;DHX36;NANOS2;ROCK2;AGO3;PLEKHN1;CNOT6;DIS3
Dopaminergic Neuron Differentiation (GO:0071542),0.032884275337429554,-0.6229034246114251,-1.8907308838750498,0.0,NR4A2;WNT3;FZD1;WNT5A;WNT3A;FOXA2;LMX1A;WNT1;LRP6;FOXA1;OTX2;PITX3;SHH;LMX1B;WNT9B;CTNNB1
G1/S Transition of Mitotic Cell Cycle (GO:0000082),0.03115352400388063,-0.5079893286027578,-1.8896500344939942,0.0,CCNJ;CUL4A;TRIM71;E2F3;CCNE2;CCNF;CDKN1B;ZNF324;CCNG2;CUL1;MYC;CCNA2;KHDRBS1;CCNE1;CCNO;CCNA1;CDKN3;CUL3;CACUL1;CCNB2;CDK6;LATS1;DBF4;CUL2;POLE;USP37;CCNP;CCNB1;CAMK2A;CDC7;PLK2
Negative Regulation of Neuron Differentiation (GO:0045665),0.030779681715834062,-0.6334914066277012,-1.88643718851322,0.0,POU4F2;SOX9;DLL1;DISP3;DLX2;REST;SOX2;HEY1;DLX1;SOX3
Neuron Differentiation (GO:0030182),0.0383336695362036,-0.42214660754142547,-1.8732768550884216,0.0,ID2;NR4A2;POU4F2;WNT3;SOX4;CDK5R1;FZD5;FZD10;VSX1;POU3F2;INSM1;INSM2;FZD1;EMX1;WNT5A;ID1;SOX21;SOX2;CDNF;NR2E3;CASP3;IRX5;EPOP;EN2;WNT3A;FOXA2;SOX3;WNT7A;LHX9;LMX1A;RTN4;RUNX3;SRF;WNT1;DDIT4;LRP6;IRX4;WNK1;ASCL1;PTPRD;NOTO;FZD8;FZD9;SOX11;GSX1;FUT9;IRX3;WNT8A;ERBB2;FOXA1;OTX2;IER2;EMX2;LHX1;LHX2;PITX3;BCCIP;BRINP1;SHH;ATOH7;IRX2;LMX1B;TDP2;SOX12;ID4;PITX2;DMD;NRBP2;MTPN;FZD7;TENM2;SOX15;HAND2;WNT9B;LHX6;HS6ST1;RTN2;PBX2;CTNNB1;VAX1;LHX5;PBX1;ATOH1
Ventricular Septum Development (GO:0003281),0.03766744265923749,-0.5624831918354108,-1.8686748701704057,0.0,PROX1;SALL1;SOX4;GJA5;CITED2;NOTCH1;HEY2;TGFBR3;GATA3;HEY1;BMPR1A;DAND5;SOX11;ROBO1;NKX2-5;GATA4;TBX5;BMPR2
Negative Regulation of RNA Biosynthetic Process (GO:1902679),0.03705914855418148,-0.39195268828145363,-1.8678183500343182,0.0,GZF1;ID2;NKX3-1;PROX1;L3MBTL3;HEXIM2;CIPC;ZNF425;SALL1;RUNX1T1;ZBTB21;LANCL2;NR0B1;FOXO1;IKZF1;LEF1;MSX2;NR3C1;SOX9;UBE2I;MBTD1;SIX4;TBX21;CITED2;SFMBT1;CDK5R1;SUV39H2;BAHD1;BCL7A;RCOR3;MYB;ZBTB33;CEBPA;POU2F1;NOTCH1;KAT6A;EPC1;CRY2;CDKN1B;HAND1;TBX20;CBX3;SOX7;BMAL1;HEY2;REST;TFAP2A;ZFTA;NR1D2;FOXL2;WNT5A;ID1;TFAP4;NFIL3;ESX1;ZNF746;PRMT6;ZBTB18;KMT5A;ZNF217;KCTD1;GATA3;SMARCC2;ZIC2;NAB1;KCTD15;CITED1;SMAD2;HEY1;CTCF;DPEP3;ZNF777;CENPF;MEN1;PRDM5;E2F1;PRDM11;HMGB2;RBM15B;GFI1;TFAP2B;SIN3A;FOXM1;TCF7L2;BCLAF1;ZHX1;KHDRBS1;MIDEAS;EZH2;LHX9;KAT6B;ING4;RB1;SFPQ;ALX1;RPS6KA5;NKRF;PHC1;CBX5;CLOCK;EED;RORB;TBX3;TAF7;RBBP4;FOXP3;RIPPLY1;PTPRK;NKX2-1;LIMD1;PAX9;POU3F3;ASCL1;ZNF253;RBM15;SPINDOC;ZMYND11;TRIM33;ZMYND15;CAPN3;ELF2;ZSCAN10;ZMYM2;PASD1;FCN3;SMARCE1;RCOR1;ZBED6;ZC3H8;ATOH8;CCAR2;ARID4A;BCOR;ADIPOQ;SOX18;PDCD4;IKZF4;CD38;ZNF224;LHX1;TNF;GATAD2B;MTA2;SIRT1;PRICKLE1;ZNF396;NMNAT1;HIC2;JUN;BRMS1L;CIART;CIR1;ZNF12;HHEX;NKX2-5;PHF12;PRDM16;SCML1;ZGPAT;ID4;RSF1;SP3
Embryonic Limb Morphogenesis (GO:0030326),0.04044765866503835,-0.5097657481387801,-1.8588205061204774,0.0,PTCH1;SALL1;CYP26B1;TFAP2A;RARG;CREBBP;WNT7A;CACNA1C;IFT122;TBX3;IHH;MYH3;OSR2;SHH;OSR1;TBX5;HOXA11;CTNNB1;NOG
Wnt Signaling Pathway (GO:0016055),0.04672197839941992,-0.4414574802997146,-1.8429372206125616,0.0,NR4A2;BCL9;WNT3;LEF1;AXIN2;CELSR2;FZD5;FZD10;FZD1;WNT5A;RARG;GATA3;WNT3A;TCF7L2;WNT7A;FRAT1;CD24;FRAT2;SNAI1;WNT1;LRP6;TCF7;FZD8;FZD9;WNT8A
Negative Regulation of Cell Cycle (GO:0045786),0.04765690364285945,-0.47790893241661764,-1.839625181669266,0.0,HEXIM2;HECA;PPP1R13B;INCA1;MYOCD;CDKN1B;GMNC;TFAP4;PTPN3;NPPC;GATA3;THAP5;INHA;MEN1;FOXC1;RUNX3;RB1;TP53BP2;PROC;GPER1;PTPRK;HOXD10;BARD1;CREB3L4;PTEN;GAS1;CDK6;LATS1;BRINP1;SIRT1;FBXO43;HHEX;TSPYL2;BTG3;HPGD;ANGEL2;MCIDAS
Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),0.04969179384322689,-0.5159911987576274,-1.8309191855381795,0.0,PROX1;HEXIM2;INCA1;CDK5R1;RGCC;MYOCD;CCNE2;CDKN1B;CDKN2C;TFAP4;CCNT2;CCNK;MEN1;CDKN3;CDC25C;PROC
Negative Regulation of Cell Differentiation (GO:0045596),0.04932641300614433,-0.41715482331032366,-1.8276943471740414,0.0,ID2;PTCH1;POU4F2;RUNX1T1;OVOL2;FOXO1;SOX9;SOX4;BICRAL;CTR9;DLL1;BCL7A;MYOCD;PTHLH;MYB;NOTCH1;PTGR3;IL17RD;DISP3;BMAL1;REST;WNT5A;NR5A2;SOX2;RANBP3L;NKX3-2;SPRED3;GATA3;ACTL6A;ABCG1;CITED1;SMAD2;HEY1;MEN1;TRIB2;E2F1;ZFHX3;ACVR1B;FOXA2;SOX3;SPRY2;RTN4;USF3;TCF23;RB1;GPS2;TMEM64;WNT1;YAP1;METTL14;ACTL6B;RORB;TBX3;GPER1;NKX2-1;LIMD1;ASCL1;TENT5C;NPHP3;FOXA1;PTEN;ZBED6;ADIPOQ;SMARCD1;ZFP36L2;MARK1;PDCD4;YTHDF2;SPRY1;SCAF1;CDK6;TNF;SHH;SIRT1;GSK3B;SPSB3;OSR1
Regulation of Cell Development (GO:0060284),0.04789764793975946,-0.5065694139701031,-1.8272866163496289,0.0,WNT3;LEF1;ING5;DLL1;BRD1;KAT6A;BRPF3;BMAL1;HEY2;NACA;GFI1B;HEY1;HMGB2;MYSM1;KAT6B;HES6;YAP1;CLOCK;FBXO22;ASCL1
Cell Cycle G1/S Phase Transition (GO:0044843),0.04840565329669631,-0.4842246608743454,-1.8231966076338793,0.0,CCNJ;CUL4A;TRIM71;E2F3;CCNE2;CCNF;CDKN1B;ZNF324;CCNG2;CUL1;MYC;CCNA2;KHDRBS1;CCNE1;CCNO;CCNA1;CDKN3;CUL3;CACUL1;CCNB2;CDK6;LATS1;DBF4;CUL2;POLE;USP37;CCNP;CCNB1;CAMK2A;CDC7;PLK2
Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201),0.049609210966591856,0.5521397550946752,1.7500115740408702,0.0,EXT2;XYLT1;NAGLU;GLB1;HS3ST4;EXT1;SULF1;XYLT2;SULF2;SGSH;IDUA;GPC1
Positive Regulation of Neutrophil Migration (GO:1902624),0.047059507546123557,0.5772196005813208,1.75517056421828,0.0,CXCL8;CAMK1D;MCU;XG;RAC2;MOSPD2;RNASE1;C1QBP;THBS4;CCL21;CD74;NCKAP1L;CD99
Retinal Metabolic Process (GO:0042574),0.04354772747170508,0.6742367146044074,1.7638539602704084,0.0,RDH13;RDH11;AKR1C1;DHRS4;SDR16C5;ALDH8A1;AKR1C3;BCO2;DHRS4L2;BCO1
Establishment of Protein Localization to Extracellular Region (GO:0035592),0.042841936469397754,0.5178120988154415,1.7678923291325188,0.0,SCG2;TVP23C-CDRT4;RCN3;TANGO6;COPG1;LRRC32;STEAP3;ARFGAP3;OLFM2;TVP23B;AFM;MON1A;FGG;PDIA4;CTAGE1;LTBP3;CLSTN3
rRNA Metabolic Process (GO:0016072),0.041193449818947084,0.44216714464769713,1.7712207494660912,0.0,NOL6;FBL;RRP9;NOB1;EXOSC2;DDX47;RPS27;RPS7;PES1;WDR18;RPL11;MARS1;RPS19;MRM3;RPS6;MRM1;RPS15;DDX10;MAPT;EXOSC7;RPS17;RPS25;PELP1;RPL26;CAVIN1;RPS16;BRF1;RPS28;WDR55;NOP53;WDR36;EBNA1BP2;RPL7;NLRP2B;RPL14;DCAF13;DKC1;RPL35A;RPL5;MTREX;RPL27;GTF3C1;EXOSC3;METTL5;NOL8
Monocyte Chemotaxis (GO:0002548),0.04138330173129593,0.5800807953195701,1.7717194192482677,0.0,PF4;CALCA;FLT1;CCL26;RPS19;TNFSF11;CCL7;IL6;PTPRU;CCL3;CCL23
Fatty Acid Derivative Biosynthetic Process (GO:1901570),0.04144198864331806,0.5359571362240895,1.772622670361799,0.0,GGT5;GGTLC1;PPT1;GGTLC2;GGTLC3;CBR4;ACACA;FAR2;FAR1;FASN;ACSS3;GGT1;ALOX5;HTD2;GCDH
Regulation of Chemotaxis (GO:0050920),0.040817157709376176,0.5215927017307607,1.7741092439710047,0.0,F2RL1;TGFB1;PDGFRB;TREM2;P2RX4;PPM1F;P2RY12;CCL26;PDGFRA;RARRES2
Positive Regulation of Interleukin-6 Production (GO:0032755),0.03990087344698101,0.4584302137785432,1.776755893699019,0.0,F2RL1;TGFB1;TLR4;CLEC7A;SETD4;TLR3;F2R;MYD88;BSG;IFIH1;SIGLEC16;TNFSF4;POU2F2;RIGI;TLR7;IL6;HSPD1;IL16;IL1A;POU2AF1;RAB7B;XBP1;EREG;LILRB2;LGALS9;PLCG2;APP;CD74;TSLP;SYK;LILRA5;IL17RA;TLR1
Regulation of Viral Genome Replication (GO:0045069),0.03966405866998222,0.4821026725087858,1.778228979003049,0.0,CXCL8;TRIM6-TRIM34;OAS3;MX1;BST2;SHFL;IFIH1;ISG15;OAS1;IFITM1;PABPC1;ADARB1;EIF2AK2;IFI16;APOBEC3G;IFIT1;PPIE;PPIA;RNASEL;IFITM3;APOBEC3C;RSAD2;BTBD17;PLSCR1;APOBEC3F;HACD3;TNIP1;OAS2
Negative Regulation of Platelet Activation (GO:0010544),0.03970528093008404,0.6298976522957261,1.779742902043795,0.0,CEACAM1;SERPINE2;PRKG1;C1QTNF1;CD9;THBD;APOE;PDGFRA;TMX1
Proteolysis (GO:0006508),0.03946049922366984,0.3729221242368579,1.7815110545567787,0.0,ADAM28;ADAMTS16;PLG;HABP2;MMP12;COLEC10;CTSE;LONP1;MMP3;ADAM12;CAPN5;CPZ;TRHDE;TMPRSS11D;CPQ;FCN2;PCOLCE;BACE2;OLR1;MMP2;ADGRV1;FBXO6;CTSZ;CELA3B;PLAT;CPB1;PEPD;PCSK2;MMP14;VASH1;GGT5;CLPP;CAPN12;ADAM33;HM13;ADAM2;DPP4;PCSK1;CASP1;UFSP2;CTSS;BMP1;CPA1;PRSS54;MMP17;ADAM20;DPP3;LGMN;ENPEP;CASP4;ECE1;HTRA1;PSENEN;ADAM19;ADAMTS2;CASP8;TINAGL1;CTSD;CTSB;CTSL;THBD;CAPN13;PSMB5;COLEC11;DPP9;ADAMTS10;PCSK5;SRGN;ADAMTS12;MMP16;CFH;ADAM32;PSMB1;ADAMTS7;TRABD2B;ATG4C;CPE;ADAM9;CAPNS1;CPB2;ADAMDEC1;CPO;CTSH;FCN1;TMPRSS11E;KLK4;MMP28;GZMB;ATG4B;CPA5;CTSK;MMP1;LAP3;CAPN8;PAPPA;CTRL;ERAP2;CLN3;MMEL1;THOP1;CTSA;ADAMTS17;PLAU;NLRP1;CPA4
Integrin-Mediated Signaling Pathway (GO:0007229),0.03790282519078806,0.4674097736380284,1.7895792329981886,0.0,PTK2;CEACAM1;ITGB5;MYH9;ITGA11;ITGBL1;CDH17;TEC;ITGA1;FN1;COL3A1;ISG15;ITGA4;FBLN1;ITGA3;THY1;ITGA5;CCM2;ITGA2;PTK2B;NME2;SEMA7A;ADAM9;PLPP3;SRC;ITGA8;CD40LG;NEDD9;VTN;PTPRA;COL16A1;ITGB6
Response to Type II Interferon (GO:0034341),0.037042121843310113,0.4726579541847603,1.7923980988944237,0.0,LONP1;TLR4;SP100;BST2;SHFL;CASP1;DAPK3;GBP2;IFITM1;CALCOCO2;TRIM21;GBP5;SYNCRIP;GBP1;EPRS1;NUB1;IL23R;DNAJA3;GAPDH;CCL3;IFITM3;RPL13A;STAT1;KYNU;IL12RB1;GBP4;SLC26A6;LGALS9;CD74;CALM1;CCL2
Ribosomal Small Subunit Biogenesis (GO:0042274),0.03660658837072563,0.4693270833044194,1.7940291944135158,0.0,NOL6;FBL;RRP9;NOB1;RPS8;BMS1;RPS27;RPS7;RPS15A;RPS14;SRFBP1;RPS19;RPS6;RPS15;RPS23;PWP2;RPS13;RPS17;RPS25;RPS16;RPS28;RPS4X;RPS27A;RPSA2;WDR36;NAT10;ERAL1;FAU;RPS11;RPSA;NOL7;RPS5;RPS3A;UTP11;UTP6;SURF6;DDX52;RIOK1;RPS19BP1;RPS12
Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894),0.03299615198721047,0.6079094547674636,1.8026750195574446,0.022727272727272728,TLR3;MYD88;OAS1;TNIP2;UNC93B1;TRAF6;SCARA3;TLR7;RFTN1;IRAK1;TICAM1;IKBKB
"Wound Healing, Spreading of Cells (GO:0044319)",0.030820057575476633,0.6264257196958243,1.808022845783702,0.0,MMP12;CD44;CEACAM1;ITGB5;ITGA5;COL5A1;FLNA;RHOC;TOX4;RHOA;DDR1;PDCD10;LRG1;TMEFF2;CD151;ARHGAP24;MRTFA
Regulation of Receptor Signaling Pathway via STAT (GO:1904892),0.03121518651875197,0.5889091123817496,1.8080438639832463,0.0,PTPRT;IL7R;TGFB1;IL6;CRLF2;PIGU;TSLP;JAK3;GATD3;EGF;LIF;JAK2
tRNA Aminoacylation (GO:0043039),0.030994428481137037,0.5919312502678371,1.8086327373250901,0.0,DTD1;GARS1;HARS1;MARS1;VARS1;EPRS1;NARS1;LARS1;FARS2;IARS1;GATB;GATC;LARS2
"Retrograde Vesicle-Mediated Transport, Golgi to Endoplasmic Reticulum (GO:0006890)",0.03140224990852042,0.5246623158234218,1.808695696752107,0.0,BICD2;ERGIC3;STX18;LMAN2;COPA;ARF4;SCFD1;ERGIC2;ZW10;GOLPH3L;COG7;NBAS;PTGES2;KDELR2;RINT1;PLPP3;TMEM115;COPZ2;KDELR3;BNIP1;TMED10;SCYL1;COPZ1;KDELR1;RAB41;ERGIC1;UBE2Z
Regulation of Cell Adhesion Mediated by Integrin (GO:0033628),0.031178099168432664,0.5367147406551225,1.8107867593585874,0.0,PTK2;SERPINE1;P2RY12;DPP4;NEXMIF;JAM3;MUC1;SFRP2;ADAM9;PIK3CG;TGFB2;SNAI2;PLAU;CCL21;EPHA2;NCKAP1L;EPHA8;SYK;CIB1;LIF;SLC48A1;ADA
Intermediate Filament Organization (GO:0045109),0.030785006667075294,0.4718008622506651,1.8128421475017167,0.0,KRT19;KRT72;KRT32;KRT9;KRT73;DSPP;KRT82;KRT38;KRT12;KRT10;KRT77;KRT25;DES;KRT3;KRT84;VIM;KRT6B;KRT75;KRT35;KRT33A;KRT40;KRT1;KRT78;KRT71;BFSP2;KRT15;KRT7;KRT80;KRT33B;PKP1;EPPK1;KRT17
Cellular Response to Low-Density Lipoprotein Particle Stimulus (GO:0071404),0.03120671908717222,0.6188836629151008,1.81293776074252,0.0,TGFB1;TLR4;LDLR;CDH13;MYD88;TREM2;CD9;CD81
Cellular Response to Lipopolysaccharide (GO:0071222),0.03147273756263606,0.4394838631905034,1.8137677320803285,0.0,CXCL8;CD6;MMP3;TLR4;TNIP3;SBNO2;SERPINE1;GSTP1;PF4;AXL;MYD88;IRAK2;CCR5;TNFRSF1B;SELENOS;TNFSF4;CD86;MEF2C;CXCL10;TNIP2;CASP1;IL36B;GBP2;TRAF6;IL36RN;LY96;IL36A;PRKCE;CARD16;DEFA3;IL6;VIM;CXCL13;RHOA;IL1A;ADAM9;B2M;IRAK1;XBP1;LDOC1;NLRP7;LILRB2;TICAM1;TMED7-TICAM2;TNIP1;NR1D1;CD180;PLCG2;CXCL5;BPI;TNFAIP3;LILRB1;CHMP5;CCL2
Protein Catabolic Process (GO:0030163),0.02818116267220754,0.44277482432249016,1.822741036679705,0.0,UTP25;CEACAM1;PCSK9;LONP1;GLB1;VCP;FBXO6;SQSTM1;CTSZ;MMP14;TCIRG1;CLPP;AFG1L;PRKCA;CTSS;BNIP3;LGMN;RIPK1;TRIM21;PISD;CASP8;CTSD;PPT1;CTSB;CTSL;UCHL1;ADAMTS12;PSMB1;ADAMTS7;PRKN;NGLY1;CLN8;PRPF19;CTSH;MANBA;GZMB;CTSK;PRSS16;CTRL;NR1D1;SLC6A7;HSP90AA1;DTX4;CAPN2
Positive Regulation of Cytokine Production (GO:0001819),0.025484307862268227,0.385625900764529,1.8291817167423952,0.0,F2RL1;CD6;HTR2B;TGFB1;CLSTN1;CD276;TLR4;PRKD2;TRIM6-TRIM34;CLEC7A;SETD4;IKBKE;FADD;SERPINE1;TLR3;RPS3;GDF2;CALCA;F2R;NFAM1;SORL1;MYD88;BSG;PQBP1;IFIH1;SIGLEC16;ISG15;LAPTM5;AGPAT2;TNFSF4;ZBTB7B;CHI3L1;SLC7A5;CD86;PLA2R1;AFAP1L2;CSF1R;PARK7;CASP1;HILPDA;IRF7;IL26;CCM2;TRAF6;PAEP;LY9;HLA-G;EIF2AK2;IFI16;ANXA1;CCBE1;PLCB1;POU2F2;HLA-A;RIPK1;SAA2;RIGI;GBP5;TLR7;RFTN1;BTN3A2;IL1R1;PIBF1;RARA;LTB;IL6;SULF1;PHB1;HSPD1;IL23R;CCR2;CRLF2;GAPDH;IL16;DDIT3;IL1A;POU2AF1;RAB7B;IRAK1;XBP1;C1QTNF3;IL32;TRIM27;SULF2;PIK3CG;FCN1;HLA-E;EREG;LILRB2;FLOT1;TMIGD2;HMOX1;TICAM1;CD40LG;TMED7-TICAM2;IL12RB1;RUNX1;EBI3;LGALS9;FFAR2;IL15;ZFPM1;PLCG2;SCAMP5;NR1H4;CSF2;APP;CD74;DRD2;LILRB1;GARIN5A;TSLP;TYK2;PTPRC;CD28;BTN3A1;LAMTOR5;MAPK11;KLRF2;CD274;CD2;APOA2;SYK;LILRA5;CD58;AGXT;SOD1;CADM1;TANK;IL17RA
